**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
120.0, elevID,9,  pos,-2,  cmd, goto,-2
120.0, elevID,10,  pos,-1,  cmd, goto,-1
121.0, elevID,8,  pos,0,  cmd, goto,0
121.0, elevID,9,  pos,-2,  cmd, goto,-2
121.0, elevID,10,  pos,-1,  cmd, goto,-1
122.0, elevID,8,  pos,0,  cmd, goto,0
122.0, elevID,9,  pos,-2,  cmd, goto,-2
122.0, elevID,10,  pos,-1,  cmd, goto,-1
123.0, elevID,8,  pos,0,  cmd, goto,0
123.0, elevID,9,  pos,-2,  cmd, goto,-2
123.0, elevID,10,  pos,-1,  cmd, goto,-1
124.0, elevID,8,  pos,0,  cmd, goto,0
124.0, elevID,9,  pos,-2,  cmd, goto,-2
124.0, elevID,10,  pos,-1,  cmd, goto,-1
125.0, elevID,8,  pos,0,  cmd, goto,0
125.0, elevID,9,  pos,-2,  cmd, goto,-2
125.0, elevID,10,  pos,-1,  cmd, goto,-1
126.0, elevID,8,  pos,0,  cmd, goto,0
126.0, elevID,9,  pos,-2,  cmd, goto,-2
126.0, elevID,10,  pos,-1,  cmd, goto,-1
127.0, elevID,8,  pos,0,  cmd, goto,0
127.0, elevID,9,  pos,-2,  cmd, goto,-2
127.0, elevID,10,  pos,-1,  cmd, goto,-1
128.0, elevID,8,  pos,0,  cmd, goto,0
128.0, elevID,9,  pos,-2,  cmd, goto,-2
128.0, elevID,10,  pos,-1,  cmd, goto,-1
129.0, elevID,8,  pos,0,  cmd, goto,0
129.0, elevID,9,  pos,-2,  cmd, goto,-2
129.0, elevID,10,  pos,-1,  cmd, goto,-1
130.0, elevID,8,  pos,0,  cmd, goto,0
130.0, elevID,9,  pos,-2,  cmd, goto,-2
130.0, elevID,10,  pos,-1,  cmd, goto,-1
131.0, elevID,8,  pos,0,  cmd, goto,0
131.0, elevID,9,  pos,-2,  cmd, goto,-2
131.0, elevID,10,  pos,-1,  cmd, goto,-1
132.0, elevID,8,  pos,0,  cmd, goto,0
132.0, elevID,9,  pos,-2,  cmd, goto,-2
132.0, elevID,10,  pos,-1,  cmd, goto,-1
133.0, elevID,8,  pos,0,  cmd, goto,0
133.0, elevID,9,  pos,-2,  cmd, goto,-2
133.0, elevID,10,  pos,-1,  cmd, goto,-1
134.0, elevID,8,  pos,0,  cmd, goto,0
134.0, elevID,9,  pos,-2,  cmd, goto,-2
134.0, elevID,10,  pos,-1,  cmd, goto,-1
135.0, elevID,8,  pos,0,  cmd, goto,0
135.0, elevID,9,  pos,-2,  cmd, goto,-2
135.0, elevID,10,  pos,-1,  cmd, goto,-1
136.0, elevID,8,  pos,0,  cmd, goto,0
136.0, elevID,9,  pos,-2,  cmd, goto,-2
136.0, elevID,10,  pos,-1,  cmd, goto,-1
137.0, elevID,8,  pos,0,  cmd, goto,0
137.0, elevID,9,  pos,-2,  cmd, goto,-2
137.0, elevID,10,  pos,-1,  cmd, goto,-1
138.0, elevID,8,  pos,0,  cmd, goto,0
138.0, elevID,9,  pos,-2,  cmd, goto,-2
138.0, elevID,10,  pos,-1,  cmd, goto,-1
139.0, elevID,8,  pos,0,  cmd, goto,0
139.0, elevID,9,  pos,-2,  cmd, goto,-2
139.0, elevID,10,  pos,-1,  cmd, goto,-1
140.0, elevID,8,  pos,0,  cmd, goto,0
140.0, elevID,9,  pos,-2,  cmd, goto,-2
140.0, elevID,10,  pos,-1,  cmd, goto,-1
141.0, elevID,10,  pos,-1,  cmd, goto,-1
141.0,Elevator call,140.52095248879914,-1,7,1,2, got allocated to elevator, 2
141.0, elevID,8,  pos,0,  cmd, goto,0
141.0, elevID,9,  pos,-2,  cmd, goto,-2
141.0,Elev,10,  arrived at src, -1, Elevator call,140.52095248879914,-1,7,2,2
141.0, elevID,10,  pos,-1,  cmd, goto,-1
142.0, elevID,8,  pos,0,  cmd, goto,0
142.0, elevID,9,  pos,-2,  cmd, goto,-2
142.0, elevID,10,  pos,-1,  cmd, goto,-1
143.0, elevID,9,  pos,-2,  cmd, goto,-2
143.0,Elevator call,142.07808960138755,-2,0,1,1, got allocated to elevator, 1
143.0, elevID,8,  pos,0,  cmd, goto,0
143.0,Elev,9,  arrived at src, -2, Elevator call,142.07808960138755,-2,0,2,1
143.0, elevID,9,  pos,-2,  cmd, goto,-2
143.0, elevID,10,  pos,-1,  cmd, goto,-1
144.0, elevID,8,  pos,0,  cmd, goto,0
144.0, elevID,9,  pos,-2,  cmd, goto,-2
144.0, elevID,10,  pos,-1,  cmd, goto,-1
145.0, elevID,8,  pos,0,  cmd, goto,0
145.0, elevID,9,  pos,-2,  cmd, goto,-2
145.0, elevID,10,  pos,-1,  cmd, goto,-1
146.0, elevID,8,  pos,0,  cmd, goto,0
146.0, elevID,9,  pos,-2,  cmd, goto,-2
146.0, elevID,10,  pos,-1,  cmd, goto,-1
147.0, elevID,8,  pos,0,  cmd, goto,0
147.0, elevID,9,  pos,-2,  cmd, goto,-2
147.0, elevID,10,  pos,-1,  cmd, goto,-1
148.0, elevID,10,  pos,-1,  cmd, goto,-1
148.0,Elevator call,147.44392615224183,-1,6,1,2, got allocated to elevator, 2
148.0, elevID,8,  pos,0,  cmd, goto,0
148.0, elevID,9,  pos,-2,  cmd, goto,-2
148.0,Elev,10,  arrived at src, -1, Elevator call,147.44392615224183,-1,6,2,2
148.0, elevID,10,  pos,-1,  cmd, goto,-1
149.0, elevID,8,  pos,0,  cmd, goto,0
149.0, elevID,9,  pos,-2,  cmd, goto,-2
149.0, elevID,10,  pos,-1,  cmd, goto,-1
150.0, elevID,8,  pos,0,  cmd, goto,0
150.0, elevID,9,  pos,-2,  cmd, goto,-2
150.0, elevID,10,  pos,-1,  cmd, goto,-1
151.0, elevID,8,  pos,0,  cmd, goto,0
151.0, elevID,9,  pos,-2,  cmd, goto,-2
151.0, elevID,10,  pos,-1,  cmd, goto,-1
152.0, elevID,8,  pos,0,  cmd, goto,0
152.0, elevID,9,  pos,-2,  cmd, goto,-2
152.0, elevID,10,  pos,-1,  cmd, goto,-1
153.0, elevID,8,  pos,0,  cmd, goto,0
153.0, elevID,9,  pos,-2,  cmd, goto,-2
153.0, elevID,10,  pos,-1,  cmd, goto,-1
154.0, elevID,8,  pos,0,  cmd, goto,0
154.0, elevID,9,  pos,-2,  cmd, goto,-2
154.0, elevID,10,  pos,-1,  cmd, goto,-1
155.0, elevID,8,  pos,0,  cmd, goto,0
155.0, elevID,9,  pos,-2,  cmd, goto,-2
155.0, elevID,10,  pos,-1,  cmd, goto,-1
