**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
195.0, elevID,2,  pos,0,  cmd, goto,0
195.0, elevID,3,  pos,3,  cmd, goto,3
196.0, elevID,2,  pos,0,  cmd, goto,0
196.0,Elevator call,195.90869649656992,0,7,1,0, got allocated to elevator, 0
196.0,Elev,2,  arrived at src, 0, Elevator call,195.90869649656992,0,7,2,0
196.0, elevID,2,  pos,0,  cmd, goto,0
196.0, elevID,3,  pos,3,  cmd, goto,3
197.0, elevID,2,  pos,0,  cmd, goto,0
197.0, elevID,3,  pos,3,  cmd, goto,3
198.0, elevID,3,  pos,3,  cmd, goto,3
198.0,Elevator call,197.5359191292572,-1,1,1,1, got allocated to elevator, 1
198.0, elevID,2,  pos,0,  cmd, goto,0
198.0, elevID,3,  pos,3,  cmd, goto,3
199.0, elevID,2,  pos,0,  cmd, goto,0
199.0, elevID,3,  pos,3,  cmd, goto,3
200.0, elevID,2,  pos,0,  cmd, goto,0
200.0, elevID,3,  pos,3,  cmd, goto,3
201.0, elevID,2,  pos,0,  cmd, goto,0
201.0, elevID,3,  pos,3,  cmd, goto,3
202.0, elevID,2,  pos,0,  cmd, goto,0
202.0, elevID,3,  pos,3,  cmd, goto,3
203.0, elevID,2,  pos,0,  cmd, goto,0
203.0, elevID,3,  pos,3,  cmd, goto,3
204.0, elevID,2,  pos,0,  cmd, goto,0
204.0, elevID,3,  pos,3,  cmd, goto,3
205.0, elevID,2,  pos,0,  cmd, goto,0
205.0, elevID,3,  pos,3,  cmd, goto,3
206.0, elevID,3,  pos,3,  cmd, goto,3
206.0,Elevator call,205.9895199338651,-1,0,1,1, got allocated to elevator, 1
206.0, elevID,2,  pos,0,  cmd, goto,0
206.0, elevID,3,  pos,3,  cmd, goto,3
207.0, elevID,2,  pos,0,  cmd, goto,0
207.0, elevID,3,  pos,3,  cmd, goto,3
208.0, elevID,2,  pos,0,  cmd, goto,0
208.0, elevID,3,  pos,3,  cmd, goto,3
209.0, elevID,2,  pos,0,  cmd, goto,0
209.0, elevID,3,  pos,3,  cmd, goto,3
210.0, elevID,2,  pos,0,  cmd, goto,0
210.0, elevID,3,  pos,3,  cmd, goto,3
211.0, elevID,2,  pos,0,  cmd, goto,0
211.0, elevID,3,  pos,3,  cmd, goto,3
212.0, elevID,2,  pos,0,  cmd, goto,0
212.0, elevID,3,  pos,3,  cmd, goto,3
213.0, elevID,2,  pos,0,  cmd, goto,0
213.0, elevID,3,  pos,3,  cmd, goto,3
214.0, elevID,2,  pos,0,  cmd, goto,0
214.0, elevID,3,  pos,3,  cmd, goto,3
215.0, elevID,2,  pos,0,  cmd, goto,0
215.0, elevID,3,  pos,3,  cmd, goto,3
216.0, elevID,2,  pos,0,  cmd, goto,0
216.0, elevID,3,  pos,3,  cmd, goto,3
217.0, elevID,2,  pos,0,  cmd, goto,0
217.0, elevID,3,  pos,3,  cmd, goto,3
218.0, elevID,2,  pos,0,  cmd, goto,0
218.0, elevID,3,  pos,3,  cmd, goto,3
219.0, elevID,2,  pos,0,  cmd, goto,0
219.0, elevID,3,  pos,3,  cmd, goto,3
220.0, elevID,2,  pos,0,  cmd, goto,0
220.0, elevID,3,  pos,3,  cmd, goto,3
221.0, elevID,2,  pos,0,  cmd, goto,0
221.0, elevID,3,  pos,3,  cmd, goto,3
222.0, elevID,2,  pos,0,  cmd, goto,0
222.0, elevID,3,  pos,3,  cmd, goto,3
223.0, elevID,2,  pos,0,  cmd, goto,0
223.0, elevID,3,  pos,3,  cmd, goto,3
224.0, elevID,2,  pos,0,  cmd, goto,0
224.0, elevID,3,  pos,3,  cmd, goto,3
225.0, elevID,2,  pos,0,  cmd, goto,0
225.0, elevID,3,  pos,3,  cmd, goto,3
226.0, elevID,2,  pos,0,  cmd, goto,0
226.0, elevID,3,  pos,3,  cmd, goto,3
227.0, elevID,2,  pos,0,  cmd, goto,0
227.0, elevID,3,  pos,3,  cmd, goto,3
228.0, elevID,3,  pos,3,  cmd, goto,3
228.0,Elevator call,227.0798304557929,-1,5,1,1, got allocated to elevator, 1
228.0, elevID,2,  pos,0,  cmd, goto,0
228.0, elevID,3,  pos,3,  cmd, goto,3
229.0, elevID,2,  pos,0,  cmd, goto,0
229.0, elevID,3,  pos,3,  cmd, goto,3
230.0, elevID,2,  pos,0,  cmd, goto,0
230.0, elevID,3,  pos,3,  cmd, goto,3
231.0, elevID,2,  pos,0,  cmd, goto,0
231.0, elevID,3,  pos,3,  cmd, goto,3
232.0, elevID,3,  pos,3,  cmd, goto,3
232.0,Elevator call,231.51578817426258,-1,0,1,1, got allocated to elevator, 1
232.0, elevID,2,  pos,0,  cmd, goto,0
232.0, elevID,3,  pos,3,  cmd, goto,3
233.0, elevID,2,  pos,0,  cmd, goto,0
233.0,Elevator call,232.95043623946805,0,-1,1,0, got allocated to elevator, 0
233.0,Elev,2,  arrived at src, 0, Elevator call,232.95043623946805,0,-1,2,0
233.0, elevID,2,  pos,0,  cmd, goto,0
233.0, elevID,3,  pos,3,  cmd, goto,3
234.0, elevID,2,  pos,0,  cmd, goto,0
234.0, elevID,3,  pos,3,  cmd, goto,3
235.0, elevID,2,  pos,0,  cmd, goto,0
235.0, elevID,3,  pos,3,  cmd, goto,3
236.0, elevID,2,  pos,0,  cmd, goto,0
236.0, elevID,3,  pos,3,  cmd, goto,3
237.0, elevID,2,  pos,0,  cmd, goto,0
237.0, elevID,3,  pos,3,  cmd, goto,3
238.0, elevID,2,  pos,0,  cmd, goto,0
238.0, elevID,3,  pos,3,  cmd, goto,3
239.0, elevID,2,  pos,0,  cmd, goto,0
239.0, elevID,3,  pos,3,  cmd, goto,3
240.0, elevID,2,  pos,0,  cmd, goto,0
240.0, elevID,3,  pos,3,  cmd, goto,3
241.0, elevID,2,  pos,0,  cmd, goto,0
241.0, elevID,3,  pos,3,  cmd, goto,3
242.0, elevID,2,  pos,0,  cmd, goto,0
242.0, elevID,3,  pos,3,  cmd, goto,3
243.0, elevID,2,  pos,0,  cmd, goto,0
243.0, elevID,3,  pos,3,  cmd, goto,3
244.0, elevID,2,  pos,0,  cmd, goto,0
244.0, elevID,3,  pos,3,  cmd, goto,3
245.0, elevID,2,  pos,0,  cmd, goto,0
245.0, elevID,3,  pos,3,  cmd, goto,3
246.0, elevID,2,  pos,0,  cmd, goto,0
246.0, elevID,3,  pos,3,  cmd, goto,3
247.0, elevID,2,  pos,0,  cmd, goto,0
247.0, elevID,3,  pos,3,  cmd, goto,3
248.0, elevID,2,  pos,0,  cmd, goto,0
248.0, elevID,3,  pos,3,  cmd, goto,3
249.0, elevID,2,  pos,0,  cmd, goto,0
249.0, elevID,3,  pos,3,  cmd, goto,3
250.0, elevID,2,  pos,0,  cmd, goto,0
250.0, elevID,3,  pos,3,  cmd, goto,3
251.0, elevID,2,  pos,0,  cmd, goto,0
251.0, elevID,3,  pos,3,  cmd, goto,3
252.0, elevID,3,  pos,3,  cmd, goto,3
252.0,Elevator call,251.10444690749756,-1,-2,1,1, got allocated to elevator, 1
252.0, elevID,2,  pos,0,  cmd, goto,0
252.0,Elevator call,251.23593354161653,0,9,1,0, got allocated to elevator, 0
252.0,Elev,2,  arrived at src, 0, Elevator call,251.23593354161653,0,9,2,0
252.0, elevID,2,  pos,0,  cmd, goto,0
252.0, elevID,3,  pos,3,  cmd, goto,3
253.0, elevID,2,  pos,0,  cmd, goto,0
253.0, elevID,3,  pos,3,  cmd, goto,3
254.0, elevID,2,  pos,0,  cmd, goto,0
254.0, elevID,3,  pos,3,  cmd, goto,3
255.0, elevID,3,  pos,3,  cmd, goto,3
255.0,Elevator call,254.69771525200505,3,4,1,1, got allocated to elevator, 1
255.0, elevID,2,  pos,0,  cmd, goto,0
255.0,Elev,3,  arrived at src, 3, Elevator call,254.69771525200505,3,4,2,1
