**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
97.0, elevID,55,  pos,-7,  cmd, goto,-7
97.0, elevID,58,  pos,-1,  cmd, goto,-1
97.0, elevID,59,  pos,-2,  cmd, goto,-2
97.0, elevID,60,  pos,-4,  cmd, goto,-4
98.0, elevID,52,  pos,-3,  cmd, goto,-3
98.0, elevID,53,  pos,-8,  cmd, goto,-8
98.0, elevID,55,  pos,-7,  cmd, goto,-7
98.0, elevID,58,  pos,-1,  cmd, goto,-1
98.0, elevID,59,  pos,-2,  cmd, goto,-2
98.0, elevID,60,  pos,-4,  cmd, goto,-4
99.0, elevID,52,  pos,-3,  cmd, goto,-3
99.0, elevID,53,  pos,-8,  cmd, goto,-8
99.0, elevID,55,  pos,-7,  cmd, goto,-7
99.0, elevID,58,  pos,-1,  cmd, goto,-1
99.0, elevID,59,  pos,-2,  cmd, goto,-2
99.0, elevID,60,  pos,-4,  cmd, goto,-4
100.0, elevID,52,  pos,-3,  cmd, goto,-3
100.0, elevID,53,  pos,-8,  cmd, goto,-8
100.0, elevID,55,  pos,-7,  cmd, goto,-7
100.0, elevID,58,  pos,-1,  cmd, goto,-1
100.0, elevID,59,  pos,-2,  cmd, goto,-2
100.0, elevID,60,  pos,-4,  cmd, goto,-4
101.0, elevID,52,  pos,-3,  cmd, goto,-3
101.0, elevID,53,  pos,-8,  cmd, goto,-8
101.0, elevID,55,  pos,-7,  cmd, goto,-7
101.0, elevID,58,  pos,-1,  cmd, goto,-1
101.0, elevID,59,  pos,-2,  cmd, goto,-2
101.0, elevID,60,  pos,-4,  cmd, goto,-4
102.0, elevID,52,  pos,-3,  cmd, goto,-3
102.0, elevID,53,  pos,-8,  cmd, goto,-8
102.0, elevID,55,  pos,-7,  cmd, goto,-7
102.0, elevID,58,  pos,-1,  cmd, goto,-1
